1,2,3,4,5,6,7,8,9,10,Male,Female,Age,Crete,Cyprus,Peloponnese,Central Greece,Thessaly,Epirus,Macedonia,Thrace,Pontos,Dodekanisa,Cyclades,Sporades,Ionnian,North_Agean,Other,Place_extra,Elementary,High School,Senior School,IEK,AEI-TEI,Post-grad_PhD,Music relation (Y),Music relation (N),Music rel (extra),Classic,Jazz/Blues,Pop,Rock_Metal,Electronical,Greek Music,Rap_Hip-Hop
surprise,nostalgia,nostalgia,nostalgia,joy,nostalgia,joy,boredom,joy,joy,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
joy,joy,joy,nostalgia,nostalgia,joy,joy,boredom,joy,nostalgia,0,1,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
annoyance,annoyance,rage,surprise,anticipation,joy,annoyance,annoyance,sorrow,nostalgia,1,0,53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
sorrow,anticipation,nostalgia,anticipation,joy,anticipation,surprise,sorrow,nostalgia,nostalgia,1,0,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
sorrow,sorrow,sorrow,sorrow,joy,anticipation,joy,sorrow,boredom,sorrow,1,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
anticipation,boredom,surprise,surprise,joy,sorrow,surprise,boredom,annoyance,joy,0,1,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
