1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Male,Female,Age,Crete,Cyprus,Peloponnese,Central Greece,Thessaly,Epirus,Macedonia,Thrace,Pontos,Dodekanisa,Cyclades,Sporades,Ionnian,North_Agean,Other,Place_extra,Elementary,High School,Senior School,IEK,AEI-TEI,Post-grad_PhD,Music relation (Y),Music relation (N),Music rel (extra),Classic,Jazz/Blues,Pop,Rock_Metal,Electronical,Greek Music,Rap_Hip-Hop
joy,nostalgia,nostalgia,joy,joy,joy,joy,joy,boredom,joy,joy,joy,nostalgia,joy,nostalgia,joy,0,1,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
annoyance,annoyance,joy,boredom,boredom,surprise,anticipation,annoyance,anticipation,joy,joy,surprise,boredom,sorrow,annoyance,boredom,0,1,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
joy,joy,joy,joy,joy,joy,joy,sorrow,joy,joy,joy,joy,joy,nostalgia,nostalgia,nostalgia,0,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
boredom,joy,joy,nostalgia,boredom,nostalgia,sorrow,sorrow,boredom,joy,joy,nostalgia,nostalgia,anticipation,boredom,joy,0,1,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
sorrow,anticipation,joy,joy,anticipation,anticipation,boredom,sorrow,sorrow,nostalgia,anticipation,boredom,annoyance,sorrow,anticipation,boredom,1,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
nostalgia,joy,joy,joy,nostalgia,anticipation,annoyance,sorrow,nostalgia,joy,joy,nostalgia,sorrow,sorrow,sorrow,anticipation,1,0,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
