1,2,3,4,5,6,7,8,9,10,Male,Female,Age,Crete,Cyprus,Peloponnese,Central Greece,Thessaly,Epirus,Macedonia,Thrace,Pontos,Dodekanisa,Cyclades,Sporades,Ionnian,North_Agean,Other,Place_extra,Elementary,High School,Senior School,IEK,AEI-TEI,Post-grad_PhD,Music relation (Y),Music relation (N),Music rel (extra),Classic,Jazz/Blues,Pop,Rock_Metal,Electronical,Greek Music,Rap_Hip-Hop
sorrow,nostalgia,boredom,anticipation,anticipation,sorrow,sorrow,surprise,anticipation,boredom,1,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
joy,nostalgia,anticipation,anticipation,anticipation,anticipation,sorrow,anticipation,anticipation,anticipation,1,0,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
joy,nostalgia,joy,nostalgia,joy,joy,nostalgia,joy,nostalgia,nostalgia,0,1,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
joy,nostalgia,nostalgia,joy,joy,sorrow,sorrow,joy,nostalgia,sorrow,0,1,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
nostalgia,anticipation,boredom,sorrow,joy,anticipation,sorrow,joy,joy,nostalgia,0,1,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
