1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Male,Female,Age,Crete,Cyprus,Peloponnese,Central Greece,Thessaly,Epirus,Macedonia,Thrace,Pontos,Dodekanisa,Cyclades,Sporades,Ionnian,North_Agean,Other,Place_extra,Elementary,High School,Senior School,IEK,AEI-TEI,Post-grad_PhD,Music relation (Y),Music relation (N),Music rel (extra),Classic,Jazz/Blues,Pop,Rock_Metal,Electronical,Greek Music,Rap_Hip-Hop
joy,joy,sorrow,nostalgia,joy,surprise,joy,annoyance,nostalgia,nostalgia,joy,surprise,joy,joy,surprise,joy,joy,0,1,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
anticipation,annoyance,surprise,sorrow,joy,annoyance,joy,joy,joy,joy,annoyance,joy,joy,sorrow,joy,joy,anticipation,0,1,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
anticipation,joy,boredom,sorrow,surprise,sorrow,joy,joy,surprise,joy,rage,surprise,joy,nostalgia,joy,surprise,surprise,0,1,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
anticipation,joy,nostalgia,sorrow,joy,sorrow,joy,joy,anticipation,joy,joy,joy,anticipation,nostalgia,joy,surprise,anticipation,1,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
anticipation,annoyance,boredom,boredom,anticipation,boredom,joy,anticipation,anticipation,boredom,annoyance,anticipation,anticipation,sorrow,anticipation,anticipation,boredom,1,0,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
sorrow,annoyance,sorrow,sorrow,anticipation,sorrow,joy,anticipation,boredom,anticipation,anticipation,anticipation,anticipation,sorrow,anticipation,anticipation,boredom,1,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
