1,2,3,4,5,6,7,8,9,10,11,12,Male,Female,Age,Crete,Cyprus,Peloponnese,Central Greece,Thessaly,Epirus,Macedonia,Thrace,Pontos,Dodekanisa,Cyclades,Sporades,Ionnian,North_Agean,Other,Place_extra,Elementary,High School,Senior School,IEK,AEI-TEI,Post-grad_PhD,Music relation (Y),Music relation (N),Music rel (extra),Classic,Jazz/Blues,Pop,Rock_Metal,Electronical,Greek Music,Rap_Hip-Hop
joy,nostalgia,annoyance,joy,joy,surprise,surprise,boredom,boredom,nostalgia,nostalgia,rage,0,1,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
surprise,anticipation,anticipation,sorrow,surprise,nostalgia,anticipation,annoyance,sorrow,anticipation,nostalgia,nostalgia,1,0,53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
joy,nostalgia,sorrow,surprise,nostalgia,nostalgia,nostalgia,surprise,anticipation,surprise,nostalgia,nostalgia,1,0,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
nostalgia,nostalgia,boredom,boredom,nostalgia,annoyance,annoyance,annoyance,nostalgia,annoyance,annoyance,annoyance,1,0,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
joy,nostalgia,anticipation,boredom,annoyance,annoyance,surprise,nostalgia,anticipation,sorrow,anticipation,surprise,1,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
nostalgia,nostalgia,sorrow,surprise,boredom,boredom,boredom,nostalgia,annoyance,nostalgia,rage,sorrow,1,0,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
nostalgia,nostalgia,boredom,surprise,sorrow,nostalgia,boredom,nostalgia,rage,nostalgia,annoyance,sorrow,0,1,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
nostalgia,anticipation,anticipation,joy,nostalgia,boredom,joy,boredom,surprise,joy,anticipation,anticipation,1,0,42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
nostalgia,nostalgia,anticipation,anticipation,sorrow,anticipation,anticipation,sorrow,anticipation,joy,anticipation,nostalgia,1,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
